TIME,feed,faecal_1,faecal_2,faecal_3
14/04/2021 10:01,0,0,0,0
14/04/2021 14:59,0,0,0,0
14/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 18:01,0,0,0,0
15/04/2021 00:01,0,0,0,0
15/04/2021 06:59,0,0,0,0
15/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 10:01,0,0,0,0
15/04/2021 14:59,0,0,0,0
15/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 18:01,0,0,0,0
16/04/2021 00:01,0,0,0,0
16/04/2021 06:59,0,0,0,0
16/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 10:01,0,0,0,0
16/04/2021 14:59,0,0,0,0
16/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 18:01,0,0,0,0
17/04/2021 00:01,0,0,0,0
17/04/2021 06:59,0,0,0,0
17/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 10:01,0,0,0,0
17/04/2021 14:59,0,0,0,0
17/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 18:01,0,0,0,0
18/04/2021 00:01,0,0,0,0
18/04/2021 06:59,0,0,0,0
18/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 10:01,0,0,0,0
18/04/2021 14:59,0,0,0,0
18/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 18:01,0,0,0,0
19/04/2021 00:01,0,0,0,0
19/04/2021 06:59,0,0,0,0
19/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 10:01,0,0,0,0
19/04/2021 14:59,0,0,0,0
19/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 18:01,0,0,0,0
20/04/2021 00:01,0,0,0,0
20/04/2021 06:59,0,0,0,0
20/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 10:01,0,0,0,0
20/04/2021 14:59,0,0,0,0
20/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 18:01,0,0,0,0
21/04/2021 00:01,0,0,0,0
21/04/2021 06:59,0,0,0,0
21/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 10:01,0,0,0,0
21/04/2021 14:59,0,0,0,0
21/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 18:01,0,0,0,0
22/04/2021 00:01,0,0,0,0
22/04/2021 06:59,0,0,0,0
22/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 10:01,0,0,0,0
22/04/2021 14:59,0,0,0,0
22/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 18:01,0,0,0,0
23/04/2021 00:01,0,0,0,0
23/04/2021 06:59,0,0,0,0
23/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 10:01,0,0,0,0
23/04/2021 14:59,0,0,0,0
23/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 18:01,0,0,0,0
24/04/2021 00:01,0,0,0,0
24/04/2021 06:59,0,0,0,0
24/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 10:01,0,0,0,0
24/04/2021 14:59,0,0,0,0
24/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 18:01,0,0,0,0
25/04/2021 00:01,0,0,0,0
25/04/2021 06:59,0,0,0,0
25/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 10:01,0,0,0,0
25/04/2021 14:59,0,0,0,0
25/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 18:01,0,0,0,0
26/04/2021 00:01,0,0,0,0
26/04/2021 06:59,0,0,0,0
26/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 10:01,0,0,0,0
26/04/2021 14:59,0,0,0,0
26/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 18:01,0,0,0,0
27/04/2021 00:01,0,0,0,0
27/04/2021 06:59,0,0,0,0
27/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
27/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
27/04/2021 10:01,0,0,0,0
27/04/2021 14:59,0,0,0,0
27/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
27/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
27/04/2021 18:01,0,0,0,0
28/04/2021 00:01,0,0,0,0
28/04/2021 06:59,0,0,0,0
28/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
28/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
28/04/2021 10:01,0,0,0,0
28/04/2021 14:59,0,0,0,0
28/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
28/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
28/04/2021 18:01,0,0,0,0
29/04/2021 00:01,0,0,0,0
29/04/2021 06:59,0,0,0,0
29/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
29/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
29/04/2021 10:01,0,0,0,0
29/04/2021 14:59,0,0,0,0
29/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
29/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
29/04/2021 18:01,0,0,0,0
30/04/2021 00:01,0,0,0,0
30/04/2021 06:59,0,0,0,0
30/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
30/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
30/04/2021 10:01,0,0,0,0
30/04/2021 14:59,0,0,0,0
30/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
30/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
30/04/2021 18:01,0,0,0,0
01/05/2021 00:01,0,0,0,0
01/05/2021 06:59,0,0,0,0
01/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
01/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
01/05/2021 10:01,0,0,0,0
01/05/2021 14:59,0,0,0,0
01/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
01/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
01/05/2021 18:01,0,0,0,0
02/05/2021 00:01,0,0,0,0
02/05/2021 06:59,0,0,0,0
02/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
02/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
02/05/2021 10:01,0,0,0,0
02/05/2021 14:59,0,0,0,0
02/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
02/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
02/05/2021 18:01,0,0,0,0
03/05/2021 00:01,0,0,0,0
03/05/2021 06:59,0,0,0,0
03/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
03/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
03/05/2021 10:01,0,0,0,0
03/05/2021 14:59,0,0,0,0
03/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
03/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
03/05/2021 18:01,0,0,0,0
04/05/2021 00:01,0,0,0,0
04/05/2021 06:59,0,0,0,0
04/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
04/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
04/05/2021 10:01,0,0,0,0
04/05/2021 14:59,0,0,0,0
04/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
04/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
04/05/2021 18:01,0,0,0,0
05/05/2021 00:01,0,0,0,0
05/05/2021 06:59,0,0,0,0
05/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
05/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
05/05/2021 10:01,0,0,0,0
05/05/2021 14:59,0,0,0,0
05/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
05/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
05/05/2021 18:01,0,0,0,0
06/05/2021 00:01,0,0,0,0
06/05/2021 06:59,0,0,0,0
06/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
06/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
06/05/2021 10:01,0,0,0,0
06/05/2021 14:59,0,0,0,0
06/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
06/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
06/05/2021 18:01,0,0,0,0
07/05/2021 00:01,0,0,0,0
07/05/2021 06:59,0,0,0,0
07/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
07/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
07/05/2021 10:01,0,0,0,0
07/05/2021 14:59,0,0,0,0
07/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
07/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
07/05/2021 18:01,0,0,0,0
08/05/2021 00:01,0,0,0,0
08/05/2021 06:59,0,0,0,0
08/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
08/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
08/05/2021 10:01,0,0,0,0
08/05/2021 14:59,0,0,0,0
08/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
08/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
08/05/2021 18:01,0,0,0,0
09/05/2021 00:01,0,0,0,0
09/05/2021 06:59,0,0,0,0
09/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
09/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
09/05/2021 10:01,0,0,0,0
09/05/2021 14:59,0,0,0,0
09/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
09/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
09/05/2021 18:01,0,0,0,0
10/05/2021 00:01,0,0,0,0
10/05/2021 06:59,0,0,0,0
10/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
10/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
10/05/2021 10:01,0,0,0,0
10/05/2021 14:59,0,0,0,0
10/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
10/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
10/05/2021 18:01,0,0,0,0
11/05/2021 00:01,0,0,0,0
11/05/2021 06:59,0,0,0,0
11/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
11/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
11/05/2021 10:01,0,0,0,0
11/05/2021 14:59,0,0,0,0
11/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
11/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
11/05/2021 18:01,0,0,0,0
12/05/2021 00:01,0,0,0,0
12/05/2021 06:59,0,0,0,0
12/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
12/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
12/05/2021 10:01,0,0,0,0
12/05/2021 14:59,0,0,0,0
12/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
12/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
12/05/2021 18:01,0,0,0,0
13/05/2021 00:01,0,0,0,0
13/05/2021 06:59,0,0,0,0
13/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
13/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
13/05/2021 10:01,0,0,0,0
13/05/2021 14:59,0,0,0,0
13/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
13/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
13/05/2021 18:01,0,0,0,0
14/05/2021 00:01,0,0,0,0
14/05/2021 06:59,0,0,0,0
14/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
14/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
14/05/2021 10:01,0,0,0,0
14/05/2021 14:59,0,0,0,0
14/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
14/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
14/05/2021 18:01,0,0,0,0
15/05/2021 00:01,0,0,0,0
15/05/2021 06:59,0,0,0,0
15/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
15/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
15/05/2021 10:01,0,0,0,0
15/05/2021 14:59,0,0,0,0
15/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
15/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
15/05/2021 18:01,0,0,0,0
16/05/2021 00:01,0,0,0,0
16/05/2021 06:59,0,0,0,0
16/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
16/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
16/05/2021 10:01,0,0,0,0
16/05/2021 14:59,0,0,0,0
16/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
16/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
16/05/2021 18:01,0,0,0,0
17/05/2021 00:01,0,0,0,0
17/05/2021 06:59,0,0,0,0
17/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
17/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
17/05/2021 10:01,0,0,0,0
17/05/2021 14:59,0,0,0,0
17/05/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
17/05/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
17/05/2021 18:01,0,0,0,0
18/05/2021 00:01,0,0,0,0
18/05/2021 06:59,0,0,0,0
18/05/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
18/05/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
